id,category,source_zh,reference_ja
001,linguistics,贵人多忘事,お偉い衆はつい胴忘れ
002,linguistics,谋事在人，成事在天,人間さまがお膳立て、天道さまがお取りあげ
003,linguistics,那宝玉是个丈八的灯台，照见人家，照不见自家的。,どだい肝腎の宝玉さまが、『文八（一文八尺）のお灯明台他人は照らせても、わが身は照らせぬ（「灯台もと暗し」）』。
004,linguistics,贫贱之交不可忘,どん底時代の交際は忘れてならぬ
005,linguistics,不经一事不长一智,一事を経ざれば、一智をも生ぜず
006,linguistics,巧媳妇做不出没米的粥来,遣繰り上手の嫁さんでも米なしでは粥はできぬ
007,linguistics,这李纨虽青春丧偶，且居处于膏粱锦绣之中，竟如槁木死灰一般，一概无闻无见。,この李紈、若い身そらで夫と頼むひとに先立たれ、おまけに衣食に贅を尽くすはでな環境にありながら、いっこうに枯木死灰も同然で、なにごとも見ざる聞かざる主義だ
008,linguistics,月满则亏，水满则溢,月 満つれば虧け、水 満つれば溢る
009,linguistics,魂飞魄散,魂も身に添わず
010,linguistics,自古道“女子无才便是德”，总以贞静为主。,古来『女子は賢しゆうないに限る』というとおり、なによりかより貞淑が第一だ。
011,linguistics,若真也葬花，可谓东施效颦。,ほんとに花を埋めようというのなら、それは『東施 顰みをまねる』も同然だ。
012,linguistics,偏偏凤姐想出一条偷梁换柱之计,あいにく鳳ちゃんが替え玉の計略を考え出してくれた
013,linguistics,自古道“欲令智昏”,昔から「欲には知恵の目もくらむ」という喩える
014,linguistics,于是尤氏一行人悄悄的来至窗下，只听里面称三赞四，耍笑之音虽多；又兼着恨五骂六，忿怨之声亦不少。,かくて尤氏ら一行、足音を忍ばせて窓の下までやってきましたところ、なかではほめたりたたえたりで笑いさんざめく声がしきりにする一方、またわめいたり恨んだりの怒りと憎しみの声も少なくないふう・・・・・
015,linguistics,这薛公子的混名人称“呆霸王”，最是天下第一个弄性尚气的人，且使钱如士，,この薛の若旦那ときては、あだ名を世間で『馬鹿さま』というとおり、天下第一等の鼻つ柱の強い男、おまけに金銭は湯水のように使います。
016,linguistics,说得天花乱坠，不由得尤老娘不肯。,天から花が舞い降りるような、結構ずくめのうまい話の持ちかけよらをしましたので、これではいかな尤の老母も、不承を唱えよう道理がない。
